,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,960000.0,X
1,Total area of the country (excl. coastal water),4100,1967,960000.0,X
2,Total area of the country (excl. coastal water),4100,1972,960000.0,X
3,Total area of the country (excl. coastal water),4100,1977,960000.0,X
4,Total area of the country (excl. coastal water),4100,1982,960000.0,X
5,Total area of the country (excl. coastal water),4100,1987,960000.0,X
6,Total area of the country (excl. coastal water),4100,1992,960000.0,X
7,Total area of the country (excl. coastal water),4100,1997,960000.0,X
8,Total area of the country (excl. coastal water),4100,2002,960000.0,X
9,Total area of the country (excl. coastal water),4100,2007,960000.0,X
10,Total area of the country (excl. coastal water),4100,2012,960000.0,X
11,Total area of the country (excl. coastal water),4100,2017,960001.08,E
12,Total area of the country (excl. coastal water),4100,2018,960001.29,E
13,Cultivated area (arable land + permanent crops),4103,1962,105001.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,103715.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,101781.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,100428.6667,X
17,Cultivated area (arable land + permanent crops),4103,1982,105899.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,128094.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,131583.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,130910.25,X
21,Cultivated area (arable land + permanent crops),4103,2002,132080.6889,X
22,Cultivated area (arable land + permanent crops),4103,2007,135027.9111,X
23,Cultivated area (arable land + permanent crops),4103,2012,135965.5,X
24,Cultivated area (arable land + permanent crops),4103,2016,135718.9,X
25,Total population,4104,1962,697164.518,X
26,Total population,4104,1967,780172.786,X
27,Total population,4104,1972,889295.073,X
28,Total population,4104,1977,979633.74,X
29,Total population,4104,1982,1051735.68,X
30,Total population,4104,1987,1141675.094,X
31,Total population,4104,1992,1233806.442,X
32,Total population,4104,1997,1290305.591,X
33,Total population,4104,2002,1336765.152,X
34,Total population,4104,2007,1376265.629,X
35,Total population,4104,2012,1415164.184,X
36,Total population,4104,2017,1452625.244,X
37,Total population,4104,2018,1459377.612,X
38,Rural population,4105,1962,570862.969,X
39,Rural population,4105,1967,634734.521,X
40,Rural population,4105,1972,726984.383,X
41,Rural population,4105,1977,795124.194,X
42,Rural population,4105,1982,817712.036,X
43,Rural population,4105,1987,849525.976,X
44,Rural population,4105,1992,871217.58,X
45,Rural population,4105,1997,851706.035,X
46,Rural population,4105,2002,806104.331,X
47,Rural population,4105,2007,738685.151,X
48,Rural population,4105,2012,669007.424,X
49,Rural population,4105,2017,597816.52,X
50,Rural population,4105,2018,583199.631,X
51,Urban population,4106,1962,123748.321,X
52,Urban population,4106,1967,143400.494,X
53,Urban population,4106,1972,158303.813,X
54,Urban population,4106,1977,178363.281,X
55,Urban population,4106,1982,228199.645,X
56,Urban population,4106,1987,287274.395,X
57,Urban population,4106,1992,359784.753,X
