,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,4309.0,X
1,Total area of the country (excl. coastal water),4100,1967,4309.0,X
2,Total area of the country (excl. coastal water),4100,1972,4309.0,X
3,Total area of the country (excl. coastal water),4100,1977,4309.0,X
4,Total area of the country (excl. coastal water),4100,1982,4309.0,X
5,Total area of the country (excl. coastal water),4100,1987,4309.0,X
6,Total area of the country (excl. coastal water),4100,1992,4309.0,X
7,Total area of the country (excl. coastal water),4100,1997,4309.0,X
8,Total area of the country (excl. coastal water),4100,2002,4309.0,X
9,Total area of the country (excl. coastal water),4100,2007,4309.0,X
10,Total area of the country (excl. coastal water),4100,2012,4292.0,X
11,Total area of the country (excl. coastal water),4100,2017,4292.0,E
12,Total area of the country (excl. coastal water),4100,2018,4292.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,2783.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,2700.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,2666.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,2648.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,2644.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,2588.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,2548.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,2373.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,2283.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,2313.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,2424.0,X
24,Cultivated area (arable land + permanent crops),4103,2015,2378.899,X
25,Total population,4104,1962,4649.346,X
26,Total population,4104,1967,4831.752,X
27,Total population,4104,1972,4990.546,X
28,Total population,4104,1977,5097.045,X
29,Total population,4104,1982,5123.349,X
30,Total population,4104,1987,5117.277,X
31,Total population,4104,1992,5171.65,X
32,Total population,4104,1997,5277.711,X
33,Total population,4104,2002,5372.801,X
34,Total population,4104,2007,5469.921,X
35,Total population,4104,2012,5611.0,
36,Total population,4104,2017,5732.274,X
37,Total population,4104,2018,5752.126,X
38,Rural population,4105,1962,1158.013,X
39,Rural population,4105,1967,1055.102,X
40,Rural population,4105,1972,961.645,X
41,Rural population,4105,1977,872.309,X
42,Rural population,4105,1982,818.474,X
43,Rural population,4105,1987,789.851,X
44,Rural population,4105,1992,781.033,X
45,Rural population,4105,1997,789.927,X
46,Rural population,4105,2002,792.499,X
47,Rural population,4105,2007,749.746,X
48,Rural population,4105,2012,721.427,X
49,Rural population,4105,2017,701.971,X
50,Rural population,4105,2018,697.769,X
51,Urban population,4106,1962,3491.333,X
52,Urban population,4106,1967,3776.65,X
53,Urban population,4106,1972,4028.901,X
54,Urban population,4106,1977,4224.736,X
55,Urban population,4106,1982,4304.875,X
56,Urban population,4106,1987,4327.426,X
57,Urban population,4106,1992,4390.617,X
58,Urban population,4106,1997,4487.784,X
59,Urban population,4106,2002,4580.302,X
60,Urban population,4106,2007,4720.211,X
61,Urban population,4106,2012,4889.233,X
62,Urban population,4106,2017,5031.58,X
63,Urban population,4106,2018,5056.587,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.0746,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.068,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.06,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.0484,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.0484,I
69,Gross Domestic Product (GDP),4112,1962,7812968114.0,X
70,Gross Domestic Product (GDP),4112,1967,12788479692.0,X
71,Gross Domestic Product (GDP),4112,1972,23232439760.0,X
72,Gross Domestic Product (GDP),4112,1977,49784350833.0,X
73,Gross Domestic Product (GDP),4112,1982,60412544146.0,X
74,Gross Domestic Product (GDP),4112,1987,109414086580.0,X
75,Gross Domestic Product (GDP),4112,1992,152914779881.0,X
76,Gross Domestic Product (GDP),4112,1997,173538660938.0,X
77,Gross Domestic Product (GDP),4112,2002,178634839746.0,X
78,Gross Domestic Product (GDP),4112,2007,319423321236.0,X
79,Gross Domestic Product (GDP),4112,2012,327148899962.0,X
