,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,18.0,X
1,Total area of the country (excl. coastal water),4100,1967,18.0,X
2,Total area of the country (excl. coastal water),4100,1972,18.0,X
3,Total area of the country (excl. coastal water),4100,1977,18.0,X
4,Total area of the country (excl. coastal water),4100,1982,18.0,X
5,Total area of the country (excl. coastal water),4100,1987,18.0,X
6,Total area of the country (excl. coastal water),4100,1992,18.0,X
7,Total area of the country (excl. coastal water),4100,1997,18.0,X
8,Total area of the country (excl. coastal water),4100,2002,18.0,X
9,Total area of the country (excl. coastal water),4100,2007,18.0,X
10,Total area of the country (excl. coastal water),4100,2012,18.0,X
11,Total area of the country (excl. coastal water),4100,2017,18.0,E
12,Total area of the country (excl. coastal water),4100,2018,18.0,E
13,Cultivated area (arable land + permanent crops),4103,1992,9.0,X
14,Cultivated area (arable land + permanent crops),4103,1997,9.0,X
15,Cultivated area (arable land + permanent crops),4103,2002,9.0,X
16,Cultivated area (arable land + permanent crops),4103,2007,10.0,X
17,Cultivated area (arable land + permanent crops),4103,2012,9.0,X
18,Cultivated area (arable land + permanent crops),4103,2017,8.5,X
19,Cultivated area (arable land + permanent crops),4103,2018,8.5,X
20,Total population,4104,1962,19.29,X
21,Total population,4104,1967,22.28,X
22,Total population,4104,1972,25.26,X
23,Total population,4104,1977,27.56,X
24,Total population,4104,1982,33.3,X
25,Total population,4104,1987,41.8,X
26,Total population,4104,1992,49.245,X
27,Total population,4104,1997,50.45,X
28,Total population,4104,2002,52.37,X
29,Total population,4104,2007,56.051,X
30,Total population,4104,2012,56.717,X
31,Total population,4104,2017,58.058,X
32,Total population,4104,2018,58.413,X
33,Rural population,4105,1992,16.923,X
34,Rural population,4105,1997,16.859,X
35,Rural population,4105,2002,15.847,X
36,Rural population,4105,2007,14.533,X
37,Rural population,4105,2012,13.43,X
38,Rural population,4105,2017,12.413,X
39,Rural population,4105,2018,12.212,X
40,Urban population,4106,1962,8.436,X
41,Urban population,4106,1967,11.05,X
42,Urban population,4106,1972,13.67,X
43,Urban population,4106,1977,15.71,X
44,Urban population,4106,1982,19.78,X
45,Urban population,4106,1987,26.76,X
46,Urban population,4106,1992,32.455,X
47,Urban population,4106,1997,34.833,X
48,Urban population,4106,2002,36.311,X
49,Urban population,4106,2007,37.604,X
50,Urban population,4106,2012,39.233,X
51,Urban population,4106,2017,40.714,X
52,Urban population,4106,2018,40.955,X
53,Gross Domestic Product (GDP),4112,1972,10066877.0,X
54,Gross Domestic Product (GDP),4112,1977,20398975.0,X
55,Gross Domestic Product (GDP),4112,1982,35244447.0,X
56,Gross Domestic Product (GDP),4112,1987,63572385.0,X
57,Gross Domestic Product (GDP),4112,1992,91915313.0,X
58,Gross Domestic Product (GDP),4112,1997,106300684.0,X
59,Gross Domestic Product (GDP),4112,2002,124942059.0,X
60,Gross Domestic Product (GDP),4112,2007,154262929.0,X
61,Gross Domestic Product (GDP),4112,2012,186607377.0,X
62,Gross Domestic Product (GDP),4112,2017,207749821.0,X
63,GDP per capita,4458,1972,450.601003,X
64,GDP per capita,4458,1977,742.591008,X
65,GDP per capita,4458,1982,1057.439154,X
66,GDP per capita,4458,1987,1508.134296,X
67,GDP per capita,4458,1992,1861.462858,X
68,GDP per capita,4458,1997,2056.424282,X
69,GDP per capita,4458,2002,2395.453411,X
70,GDP per capita,4458,2007,2958.79949,X
71,GDP per capita,4458,2012,3543.424738,X
72,GDP per capita,4458,2017,3910.437649,X
73,GDP per capita,4458,2018,4028.711494,X
74,"Agriculture, value added (% GDP)",4113,1972,8.959372,X
75,"Agriculture, value added (% GDP)",4113,1977,8.959445,X
76,"Agriculture, value added (% GDP)",4113,1982,8.959925,X
77,"Agriculture, value added (% GDP)",4113,1987,8.942254,X
78,"Agriculture, value added (% GDP)",4113,1992,8.861436,X
79,"Agriculture, value added (% GDP)",4113,1997,9.249061,X
80,"Agriculture, value added (% GDP)",4113,2002,8.952587,X
81,"Agriculture, value added (% GDP)",4113,2007,8.574615,X
82,"Agriculture, value added (% GDP)",4113,2012,20.973295,X
83,"Agriculture, value added (% GDP)",4113,2017,16.556998,X
84,Total population with access to safe drinking-water (JMP),4114,1992,92.2,X
85,Total population with access to safe drinking-water (JMP),4114,1997,92.8,X
86,Total population with access to safe drinking-water (JMP),4114,2002,93.4,X
87,Total population with access to safe drinking-water (JMP),4114,2007,93.9,X
88,Total population with access to safe drinking-water (JMP),4114,2012,94.5,X
89,Total population with access to safe drinking-water (JMP),4114,2017,94.6,I
90,Total population with access to safe drinking-water (JMP),4114,2018,94.6,I
91,Surface water: entering the country (total),4159,1962,0.0,
92,Surface water: entering the country (total),4159,1967,0.0,
93,Surface water: entering the country (total),4159,1972,0.0,
94,Surface water: entering the country (total),4159,1977,0.0,
95,Surface water: entering the country (total),4159,1982,0.0,
96,Surface water: entering the country (total),4159,1987,0.0,
97,Surface water: entering the country (total),4159,1992,0.0,
98,Surface water: entering the country (total),4159,1997,0.0,
99,Surface water: entering the country (total),4159,2002,0.0,
100,Surface water: entering the country (total),4159,2007,0.0,
101,Surface water: entering the country (total),4159,2012,0.0,
102,Surface water: entering the country (total),4159,2017,0.0,
103,Surface water: leaving the country to other countries (total),4171,1962,0.0,
104,Surface water: leaving the country to other countries (total),4171,1967,0.0,
105,Surface water: leaving the country to other countries (total),4171,1972,0.0,
106,Surface water: leaving the country to other countries (total),4171,1977,0.0,
107,Surface water: leaving the country to other countries (total),4171,1982,0.0,
108,Surface water: leaving the country to other countries (total),4171,1987,0.0,
109,Surface water: leaving the country to other countries (total),4171,1992,0.0,
110,Surface water: leaving the country to other countries (total),4171,1997,0.0,
111,Surface water: leaving the country to other countries (total),4171,2002,0.0,
112,Surface water: leaving the country to other countries (total),4171,2007,0.0,
113,Surface water: leaving the country to other countries (total),4171,2012,0.0,
114,Surface water: leaving the country to other countries (total),4171,2017,0.0,
115,Groundwater: entering the country (total),4177,1962,0.0,
116,Groundwater: entering the country (total),4177,1967,0.0,
117,Groundwater: entering the country (total),4177,1972,0.0,
118,Groundwater: entering the country (total),4177,1977,0.0,
119,Groundwater: entering the country (total),4177,1982,0.0,
120,Groundwater: entering the country (total),4177,1987,0.0,
121,Groundwater: entering the country (total),4177,1992,0.0,
122,Groundwater: entering the country (total),4177,1997,0.0,
123,Groundwater: entering the country (total),4177,2002,0.0,
124,Groundwater: entering the country (total),4177,2007,0.0,
125,Groundwater: entering the country (total),4177,2012,0.0,
126,Groundwater: entering the country (total),4177,2017,0.0,
127,Groundwater: leaving the country to other countries (total),4178,1962,0.0,
128,Groundwater: leaving the country to other countries (total),4178,1967,0.0,
129,Groundwater: leaving the country to other countries (total),4178,1972,0.0,
130,Groundwater: leaving the country to other countries (total),4178,1977,0.0,
131,Groundwater: leaving the country to other countries (total),4178,1982,0.0,
132,Groundwater: leaving the country to other countries (total),4178,1987,0.0,
133,Groundwater: leaving the country to other countries (total),4178,1992,0.0,
134,Groundwater: leaving the country to other countries (total),4178,1997,0.0,
