,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,204.0,X
1,Total area of the country (excl. coastal water),4100,1967,204.0,X
2,Total area of the country (excl. coastal water),4100,1972,204.0,X
3,Total area of the country (excl. coastal water),4100,1977,204.0,X
4,Total area of the country (excl. coastal water),4100,1982,204.0,X
5,Total area of the country (excl. coastal water),4100,1987,204.0,X
6,Total area of the country (excl. coastal water),4100,1992,204.0,X
7,Total area of the country (excl. coastal water),4100,1997,204.0,X
8,Total area of the country (excl. coastal water),4100,2002,204.0,X
9,Total area of the country (excl. coastal water),4100,2007,204.0,X
10,Total area of the country (excl. coastal water),4100,2012,204.0,X
11,Total area of the country (excl. coastal water),4100,2017,204.0,E
12,Total area of the country (excl. coastal water),4100,2018,204.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,93.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,98.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,106.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,107.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,107.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,107.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,102.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,95.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,93.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,85.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,80.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,79.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,79.0,X
26,Total population,4104,1962,698.303,X
27,Total population,4104,1967,784.78,X
28,Total population,4104,1972,852.4,X
29,Total population,4104,1977,922.32,X
30,Total population,4104,1982,988.892,X
31,Total population,4104,1987,1030.178,X
32,Total population,4104,1992,1082.956,X
33,Total population,4104,1997,1154.14,X
34,Total population,4104,2002,1201.812,X
35,Total population,4104,2007,1233.889,X
36,Total population,4104,2012,1253.488,X
37,Total population,4104,2017,1264.499,X
38,Total population,4104,2018,1267.185,X
39,Rural population,4105,1962,443.042,X
40,Rural population,4105,1967,468.756,X
41,Rural population,4105,1972,476.492,X
42,Rural population,4105,1977,525.673,X
43,Rural population,4105,1982,574.375,X
44,Rural population,4105,1987,587.682,X
45,Rural population,4105,1992,610.21,X
46,Rural population,4105,1997,657.416,X
47,Rural population,4105,2002,691.683,X
48,Rural population,4105,2007,717.043,X
49,Rural population,4105,2012,735.323,X
50,Rural population,4105,2017,748.44,X
51,Rural population,4105,2018,750.928,X
52,Urban population,4106,1962,255.261,X
53,Urban population,4106,1967,316.024,X
54,Urban population,4106,1972,375.908,X
55,Urban population,4106,1977,396.647,X
56,Urban population,4106,1982,414.517,X
57,Urban population,4106,1987,442.496,X
58,Urban population,4106,1992,472.746,X
59,Urban population,4106,1997,496.724,X
60,Urban population,4106,2002,510.129,X
61,Urban population,4106,2007,516.868,X
62,Urban population,4106,2012,518.048,X
63,Urban population,4106,2017,516.698,X
64,Urban population,4106,2018,517.387,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.366,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.377,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.4188,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.4188,I
69,Gross Domestic Product (GDP),4112,1967,218408857.2,I
70,Gross Domestic Product (GDP),4112,1972,289846577.0,X
71,Gross Domestic Product (GDP),4112,1977,881363832.0,X
72,Gross Domestic Product (GDP),4112,1982,1153991736.0,X
73,Gross Domestic Product (GDP),4112,1987,1959005505.0,X
74,Gross Domestic Product (GDP),4112,1992,3412657126.0,X
75,Gross Domestic Product (GDP),4112,1997,4425877247.0,X
76,Gross Domestic Product (GDP),4112,2002,5055097840.0,X
77,Gross Domestic Product (GDP),4112,2007,8150150144.0,X
78,Gross Domestic Product (GDP),4112,2012,11668696526.0,X
79,Gross Domestic Product (GDP),4112,2017,13259348214.0,X
80,GDP per capita,4458,1972,340.035872,X
81,GDP per capita,4458,1977,955.594406,X
82,GDP per capita,4458,1982,1166.954264,X
83,GDP per capita,4458,1987,1901.618463,X
84,GDP per capita,4458,1992,3151.242641,X
85,GDP per capita,4458,1997,3834.783689,X
86,GDP per capita,4458,2002,4206.230126,X
87,GDP per capita,4458,2007,6605.136144,X
88,GDP per capita,4458,2012,9309.850416,X
89,GDP per capita,4458,2017,10480.55486,X
90,GDP per capita,4458,2018,11211.984184,X
91,"Agriculture, value added (% GDP)",4113,1972,22.813145,X
92,"Agriculture, value added (% GDP)",4113,1977,16.882465,X
93,"Agriculture, value added (% GDP)",4113,1982,12.767545,X
94,"Agriculture, value added (% GDP)",4113,1987,11.504081,X
95,"Agriculture, value added (% GDP)",4113,1992,9.048383,X
96,"Agriculture, value added (% GDP)",4113,1997,7.499918,X
97,"Agriculture, value added (% GDP)",4113,2002,4.971582,X
98,"Agriculture, value added (% GDP)",4113,2007,4.375987,X
99,"Agriculture, value added (% GDP)",4113,2012,3.657271,X
100,"Agriculture, value added (% GDP)",4113,2017,3.095794,X
101,Prevalence of undernourishment (3-year average),4474,1992,8.1,X
102,Prevalence of undernourishment (3-year average),4474,1997,6.8,X
103,Prevalence of undernourishment (3-year average),4474,2001,6.6,X
104,Prevalence of undernourishment (3-year average),4474,2007,5.0,X
105,Prevalence of undernourishment (3-year average),4474,2012,5.3,X
106,Total population with access to safe drinking-water (JMP),4114,1992,99.2,X
107,Total population with access to safe drinking-water (JMP),4114,1997,99.2,X
108,Total population with access to safe drinking-water (JMP),4114,2002,99.3,X
109,Total population with access to safe drinking-water (JMP),4114,2007,99.6,X
110,Total population with access to safe drinking-water (JMP),4114,2012,99.8,X
111,Total population with access to safe drinking-water (JMP),4114,2017,99.9,I
112,Total population with access to safe drinking-water (JMP),4114,2018,99.9,I
113,Population affected by water related disease,4403,2002,0.0,
114,Population affected by water related disease,4403,2007,0.0,I
115,Population affected by water related disease,4403,2012,0.0,I
116,Population affected by water related disease,4403,2017,0.0,I
117,Population affected by water related disease,4403,2018,0.0,I
118,Long-term average annual precipitation in volume,4150,1962,4.16364,E
119,Long-term average annual precipitation in volume,4150,1967,4.16364,E
120,Long-term average annual precipitation in volume,4150,1972,4.16364,E
121,Long-term average annual precipitation in volume,4150,1977,4.16364,E
122,Long-term average annual precipitation in volume,4150,1982,4.16364,E
123,Long-term average annual precipitation in volume,4150,1987,4.16364,E
124,Long-term average annual precipitation in volume,4150,1992,4.16364,E
125,Long-term average annual precipitation in volume,4150,1997,4.16364,E
126,Long-term average annual precipitation in volume,4150,2002,4.16364,E
127,Long-term average annual precipitation in volume,4150,2007,4.16364,E
128,Long-term average annual precipitation in volume,4150,2012,4.16364,E
129,Long-term average annual precipitation in volume,4150,2017,4.16364,E
130,Long-term average annual precipitation in volume,4150,2018,4.16364,E
131,Surface water: entering the country (total),4159,1962,0.0,
132,Surface water: entering the country (total),4159,1967,0.0,
133,Surface water: entering the country (total),4159,1972,0.0,
134,Surface water: entering the country (total),4159,1977,0.0,
135,Surface water: entering the country (total),4159,1982,0.0,
136,Surface water: entering the country (total),4159,1987,0.0,
137,Surface water: entering the country (total),4159,1992,0.0,
138,Surface water: entering the country (total),4159,1997,0.0,
139,Surface water: entering the country (total),4159,2002,0.0,
140,Surface water: entering the country (total),4159,2007,0.0,
141,Surface water: entering the country (total),4159,2012,0.0,
142,Surface water: entering the country (total),4159,2017,0.0,
143,Surface water: leaving the country to other countries (total),4171,1962,0.0,
