,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,13037.0,X
1,Total area of the country (excl. coastal water),4100,1967,13037.0,X
2,Total area of the country (excl. coastal water),4100,1972,13037.0,X
3,Total area of the country (excl. coastal water),4100,1977,13037.0,X
4,Total area of the country (excl. coastal water),4100,1982,13037.0,X
5,Total area of the country (excl. coastal water),4100,1987,13037.0,X
6,Total area of the country (excl. coastal water),4100,1992,13037.0,X
7,Total area of the country (excl. coastal water),4100,1997,13037.0,X
8,Total area of the country (excl. coastal water),4100,2002,13037.0,X
9,Total area of the country (excl. coastal water),4100,2007,13037.0,X
10,Total area of the country (excl. coastal water),4100,2012,13037.0,X
11,Total area of the country (excl. coastal water),4100,2017,13037.0,E
12,Total area of the country (excl. coastal water),4100,2018,13037.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,1180.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,1200.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,1210.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,1230.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,1329.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,1439.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,1525.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,1980.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,2268.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,2095.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,1828.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,1790.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,1790.0,X
26,Total population,4104,1962,1887.425,X
27,Total population,4104,1967,2197.298,X
28,Total population,4104,1972,2558.699,X
29,Total population,4104,1977,2985.489,X
30,Total population,4104,1982,3455.123,X
31,Total population,4104,1987,3909.671,X
32,Total population,4104,1992,4364.512,X
33,Total population,4104,1997,4827.661,X
34,Total population,4104,2002,5219.328,X
35,Total population,4104,2007,5590.055,X
36,Total population,4104,2012,5982.526,X
37,Total population,4104,2017,6384.846,X
38,Total population,4104,2018,6465.501,X
39,Rural population,4105,1962,1122.868,X
40,Rural population,4105,1967,1216.987,X
41,Rural population,4105,1972,1324.265,X
42,Rural population,4105,1977,1503.094,X
43,Rural population,4105,1982,1688.599,X
44,Rural population,4105,1987,1854.459,X
45,Rural population,4105,1992,2008.421,X
46,Rural population,4105,1997,2166.596,X
47,Rural population,4105,2002,2302.257,X
48,Rural population,4105,2007,2411.595,X
49,Rural population,4105,2012,2508.971,X
50,Rural population,4105,2017,2592.801,X
51,Rural population,4105,2018,2606.772,X
52,Urban population,4106,1962,763.694,X
53,Urban population,4106,1967,972.895,X
54,Urban population,4106,1972,1225.509,X
55,Urban population,4106,1977,1470.712,X
56,Urban population,4106,1982,1746.926,X
57,Urban population,4106,1987,2028.484,X
58,Urban population,4106,1992,2322.856,X
59,Urban population,4106,1997,2620.044,X
60,Urban population,4106,2002,2869.477,X
61,Urban population,4106,2007,3110.511,X
62,Urban population,4106,2012,3368.137,X
63,Urban population,4106,2017,3624.78,X
64,Urban population,4106,2018,3677.985,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.5188,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.4736666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.4485,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.4485,I
69,Gross Domestic Product (GDP),4112,1962,269283804.0,X
70,Gross Domestic Product (GDP),4112,1967,657140011.0,X
71,Gross Domestic Product (GDP),4112,1969,750000003.0,X
72,Gross Domestic Product (GDP),4112,1975,2335230907.0,X
73,Gross Domestic Product (GDP),4112,1992,3874553066.0,X
74,Gross Domestic Product (GDP),4112,1997,4375338783.0,X
75,Gross Domestic Product (GDP),4112,2002,5206313233.0,X
76,Gross Domestic Product (GDP),4112,2007,7423374949.0,X
77,Gross Domestic Product (GDP),4112,2012,10532017440.0,X
78,Gross Domestic Product (GDP),4112,2016,13286093197.0,X
79,GDP per capita,4458,1972,507.238719,X
80,GDP per capita,4458,1977,1105.918995,X
81,GDP per capita,4458,1982,956.595897,X
82,GDP per capita,4458,1987,954.187334,X
83,GDP per capita,4458,1992,894.55213,X
84,GDP per capita,4458,1997,914.073083,X
85,GDP per capita,4458,2002,1006.686197,X
86,GDP per capita,4458,2007,1344.301422,X
87,GDP per capita,4458,2012,1792.04082,X
88,GDP per capita,4458,2017,2226.522932,X
89,GDP per capita,4458,2018,2087.250028,X
90,"Agriculture, value added (% GDP)",4113,1992,17.491673,X
91,"Agriculture, value added (% GDP)",4113,1997,20.04037,X
92,"Agriculture, value added (% GDP)",4113,2002,16.498937,X
93,"Agriculture, value added (% GDP)",4113,2007,16.461338,X
94,"Agriculture, value added (% GDP)",4113,2012,17.611583,X
95,"Agriculture, value added (% GDP)",4113,2016,14.915339,X
96,Number of people undernourished (3-year average),4473,1992,2300.0,X
97,Number of people undernourished (3-year average),4473,1997,2000.0,X
98,Number of people undernourished (3-year average),4473,2002,1400.0,X
99,Number of people undernourished (3-year average),4473,2007,1200.0,X
100,Number of people undernourished (3-year average),4473,2012,1100.0,X
101,Number of people undernourished (3-year average),4473,2017,1100.0,X
102,Number of people undernourished (3-year average),4473,2018,1100.0,X
103,Prevalence of undernourishment (3-year average),4474,1992,54.4,X
104,Prevalence of undernourishment (3-year average),4474,1997,42.9,X
105,Prevalence of undernourishment (3-year average),4474,2001,32.6,X
106,Prevalence of undernourishment (3-year average),4474,2006,23.3,X
107,Prevalence of undernourishment (3-year average),4474,2012,19.2,X
108,Prevalence of undernourishment (3-year average),4474,2016,19.0,X
109,Total population with access to safe drinking-water (JMP),4114,1992,73.9,X
110,Total population with access to safe drinking-water (JMP),4114,1997,77.0,X
111,Total population with access to safe drinking-water (JMP),4114,2002,80.1,X
112,Total population with access to safe drinking-water (JMP),4114,2007,83.1,X
113,Total population with access to safe drinking-water (JMP),4114,2012,86.2,X
114,Total population with access to safe drinking-water (JMP),4114,2017,87.0,I
115,Total population with access to safe drinking-water (JMP),4114,2018,87.0,I
116,Population affected by water related disease,4403,1997,254.1666666667,I
117,Population affected by water related disease,4403,2002,234.0833333333,I
118,Population affected by water related disease,4403,2007,214.0,
119,Population affected by water related disease,4403,2012,214.0,I
120,Population affected by water related disease,4403,2017,214.0,I
121,Population affected by water related disease,4403,2018,214.0,I
122,Long-term average annual precipitation in volume,4150,1962,297.2436,E
123,Long-term average annual precipitation in volume,4150,1967,297.2436,E
124,Long-term average annual precipitation in volume,4150,1972,297.2436,E
125,Long-term average annual precipitation in volume,4150,1977,297.2436,E
126,Long-term average annual precipitation in volume,4150,1982,297.2436,E
127,Long-term average annual precipitation in volume,4150,1987,297.2436,E
128,Long-term average annual precipitation in volume,4150,1992,297.2436,E
129,Long-term average annual precipitation in volume,4150,1997,297.2436,E
130,Long-term average annual precipitation in volume,4150,2002,297.2436,E
131,Long-term average annual precipitation in volume,4150,2007,297.2436,E
132,Long-term average annual precipitation in volume,4150,2012,297.2436,E
133,Long-term average annual precipitation in volume,4150,2017,297.2436,E
134,Long-term average annual precipitation in volume,4150,2018,297.2436,E
135,Interannual variability (WRI),4541,2017,1.2,I
136,Interannual variability (WRI),4541,2018,1.2,I
137,Seasonal variability (WRI),4542,2017,2.9,I
138,Seasonal variability (WRI),4542,2018,2.9,I
139,Flood occurrence (WRI),4543,2017,3.6,I
140,Flood occurrence (WRI),4543,2018,3.6,I
152,Surface water: entering the country (total),4159,2017,8.31,
153,Surface water: leaving the country to other countries (total),4171,1962,0.0,
154,Surface water: leaving the country to other countries (total),4171,1967,0.0,
155,Surface water: leaving the country to other countries (total),4171,1972,0.0,
156,Surface water: leaving the country to other countries (total),4171,1977,0.0,
157,Surface water: leaving the country to other countries (total),4171,1982,0.0,
158,Surface water: leaving the country to other countries (total),4171,1987,0.0,
159,Surface water: leaving the country to other countries (total),4171,1992,0.0,
160,Surface water: leaving the country to other countries (total),4171,1997,0.0,
